Doug,Make_x,Model_x,Version,Kilometers,Engine,Fuel Type,Transmission,Year_x,City,Price,Currency,Link,Year_y,Make_y,Model_y,Styling,Acceleration,Handling,Fun Factor,Cool Factor,WEEKEND TOTAL,Features,Comfort,Quality,Practicality,Value,DAILY TOTAL,DOUGSCORE,Video Link,Filming City,Filming State,Vehicle Country
Lamborghini Huracan Evo Spyder 2020,Lamborghini,Huracan Evo,Spyder  Malek Fara,1001 km,V10 5.2,Nafta,Automática secuencial,2023,Capital Federal,123321,USD,https://auto.mercadolibre.com.ar/MLA-1530995974-lamborghini-huracan-evo-spyder-no-ferrari-porsche-malek-fara-_JM,2020,Lamborghini,Huracan Evo Spyder,8,10,10,9,8,45,6,4,8,2,6,26,71,24:29,San Diego,California,Italy
Lamborghini Urus 2019,Lamborghini,Urus,Malek Fara,1001 km,V8 Biturbo 650cv,Nafta,Automática secuencial,2023,Capital Federal,123321,USD,https://auto.mercadolibre.com.ar/MLA-1393359903-lamborghini-urus-no-ferrari-no-porsche-malek-fara-_JM,2019,Lamborghini,Urus,6,8,6,7,7,34,8,7,8,8,6,37,71,19:47,La Jolla,California,Italy
Lamborghini Huracan 2015,Lamborghini,Huracan Evo,Spyder  Malek Fara,1001 km,V10 5.2,Nafta,Automática secuencial,2023,Capital Federal,123321,USD,https://auto.mercadolibre.com.ar/MLA-1530995974-lamborghini-huracan-evo-spyder-no-ferrari-porsche-malek-fara-_JM,2015,Lamborghini,Huracan,8,10,9,9,8,44,6,4,8,2,7,27,71,12:25,Alpharetta,Georgia,Italy
Ferrari F12 Berlinetta 2015,Ferrari,F12,F12 Berlinetta,3300 km,3.0 V6 Turbo 340CV,Nafta,Automática,2018,Capital Federal,900000,ARS,https://auto.mercadolibre.com.ar/MLA-1527051654-ferrari-f12-f12-berlinetta-_JM,2015,Ferrari,F12 Berlinetta,8,9,9,9,8,43,6,5,7,2,7,27,70,20:00,San Diego,California,Italy
Ford GT 2019,Ford,Mustang,5.0 Gt 421cv,10300 km,5.0,Nafta,Manual,2019,San Justo,78000,USD,https://auto.mercadolibre.com.ar/MLA-1543098416-ford-mustang-2017-50-gt-421cv-_JM,2019,Ford,GT,8,10,10,10,10,48,6,2,7,1,6,22,70,35:53,Huntington Beach,California,USA
Ford GT 2019,Ford,Mustang,5.0 Gt 421cv,22000 km,5.0,Nafta,Manual,2017,Pilar,80000,USD,https://auto.mercadolibre.com.ar/MLA-1530392588-ford-mustang-50-gt-421cv-2019-_JM,2019,Ford,GT,8,10,10,10,10,48,6,2,7,1,6,22,70,35:53,Huntington Beach,California,USA
Porsche 911 Turbo S (992) 2021,Porsche,911,3.8 Turbo S,77000 km,3.8,Nafta,Manual,1998,San Isidro,299000,USD,https://auto.mercadolibre.com.ar/MLA-1533910398-porsche-911-turbo-930-1980-_JM,2021,Porsche,911 Turbo S (992),7,10,8,8,7,40,7,5,8,3,6,29,69,1900-01-01 01:27:00,San Diego,California,Germany
Porsche 911 Turbo S (992) 2021,Porsche,911,3.8 Turbo S 580cv,1200 km,3.8,Nafta,Automática,2022,Capital Federal,400004,USD,https://auto.mercadolibre.com.ar/MLA-1506175386-porsche-911-911-turbo-s-_JM,2021,Porsche,911 Turbo S (992),7,10,8,8,7,40,7,5,8,3,6,29,69,1900-01-01 01:27:00,San Diego,California,Germany
Porsche Cayenne Turbo 2019,Porsche,Cayenne,3.0 V6 Turbo 340CV Tiptronic S,33000 km,3.0 V6 Turbo 340CV,Nafta,Automática,2019,Capital Federal,159000,USD,https://auto.mercadolibre.com.ar/MLA-1529864574-porsche-cayenne-_JM,2019,Porsche,Cayenne Turbo,7,8,6,6,5,32,8,7,8,8,6,37,69,23:41,Long Beach,California,Germany
Porsche Cayenne Turbo 2019,Porsche,Cayenne,4.8 V8 Turbo (957),106000 km,4.8,Nafta,Automática,2007,Capital Federal,32900,USD,https://auto.mercadolibre.com.ar/MLA-1390401553-porsche-cayenne-turbo-v8-500-cv-2007-autopremium-_JM,2019,Porsche,Cayenne Turbo,7,8,6,6,5,32,8,7,8,8,6,37,69,23:41,Long Beach,California,Germany
